tract_geoid,tract_mfi,poverty_rate,metro,metro_id,area_mfi,mfi_ratio
01001020100,48375,0.1268,1,M5240,45896,1.0540
01001020200,32097,0.2271,1,M5240,45896,0.6993
01001020300,50179,0.0766,1,M5240,45896,1.0933
01001020400,50325,0.0455,1,M5240,45896,1.0965
01001020500,65911,0.0368,1,M5240,45896,1.4361
01001020600,40455,0.1522,1,M5240,45896,0.8814
01001020700,41278,0.1100,1,M5240,45896,0.8994
01001020800,53132,0.0844,1,M5240,45896,1.1577
01001020900,41875,0.1384,1,M5240,45896,0.9124
01001021000,43167,0.1759,1,M5240,45896,0.9405
01001021100,33798,0.2260,1,M5240,45896,0.7364
01003010100,39222,0.1605,1,M5160,42399,0.9251
01003010200,36379,0.1363,1,M5160,42399,0.8580
01003010300,43141,0.0771,1,M5160,42399,1.0175
01003010400,41726,0.1178,1,M5160,42399,0.9841
01003010500,46406,0.1497,1,M5160,42399,1.0945
01003010600,27727,0.2932,1,M5160,42399,0.6540
01003010701,71494,0.0341,1,M5160,42399,1.6862
01003010703,62370,0.0726,1,M5160,42399,1.4710
01003010704,67168,0.0112,1,M5160,42399,1.5842
01003010705,55810,0.0414,1,M5160,42399,1.3163
01003010800,56406,0.1023,1,M5160,42399,1.3304
01003010901,44424,0.1340,1,M5160,42399,1.0478
01003010902,40792,0.0968,1,M5160,42399,0.9621
01003011000,39302,0.1342,1,M5160,42399,0.9270
01003011100,50602,0.0759,1,M5160,42399,1.1935
01003011201,62788,0.0534,1,M5160,42399,1.4809
01003011202,47899,0.1208,1,M5160,42399,1.1297
01003011300,60893,0.0753,1,M5160,42399,1.4362
01003011401,41277,0.1311,1,M5160,42399,0.9735
01003011403,42039,0.1096,1,M5160,42399,0.9915
01003011404,51637,0.0930,1,M5160,42399,1.2179
01003011500,41284,0.0988,1,M5160,42399,0.9737
01003011600,41324,0.1084,1,M5160,42399,0.9746
01005950100,37917,0.1994,0,,41657,0.9102
01005950200,28566,0.2893,0,,41657,0.6857
01005950300,25607,0.3369,0,,41657,0.6147
01005950400,25605,0.3282,0,,41657,0.6147
01005950500,34200,0.2346,0,,41657,0.8210
01005950600,27841,0.2645,0,,41657,0.6683
01005950700,37143,0.2984,0,,41657,0.8916
01005950800,43654,0.1548,0,,41657,1.0479
01005950900,28368,0.3127,0,,41657,0.6810
01007010000,37021,0.1466,0,,41657,0.8887
01007010100,32500,0.3397,0,,41657,0.7802
01007010200,40507,0.1189,0,,41657,0.9724
01009050101,36250,0.1615,1,M1000,48213,0.7519
01009050102,42588,0.1072,1,M1000,48213,0.8833
01009050200,44688,0.0729,1,M1000,48213,0.9269
01009050300,39911,0.1333,1,M1000,48213,0.8278
01009050400,34892,0.1634,1,M1000,48213,0.7237
01009050500,39850,0.1483,1,M1000,48213,0.8265
01009050600,49362,0.0807,1,M1000,48213,1.0238
01009050700,44875,0.0883,1,M1000,48213,0.9308
01011952100,22054,0.3952,0,,41657,0.5294
01011952200,21250,0.3826,0,,41657,0.5101
01011952300,38194,0.1738,0,,41657,0.9169
01011952400,28750,0.2211,0,,41657,0.6902
01013952700,29453,0.2172,0,,41657,0.7070
01013952800,43421,0.0837,0,,41657,1.0423
01013952900,27321,0.2862,0,,41657,0.6559
01013953000,27889,0.2404,0,,41657,0.6695
01013953100,19924,0.3845,0,,41657,0.4783
01013953200,33493,0.2565,0,,41657,0.8040
01013953300,34898,0.1068,0,,41657,0.8377
01013953400,27321,0.2918,0,,41657,0.6559
01013953500,36250,0.1767,0,,41657,0.8702
01015000100,29615,0.2572,1,M0450,41657,0.7109
01015000200,34468,0.1530,1,M0450,41657,0.8274
01015000300,23644,0.2811,1,M0450,41657,0.5676
01015000400,30417,0.2980,1,M0450,41657,0.7302
01015000500,16172,0.3796,1,M0450,41657,0.3882
01015000600,12113,0.5387,1,M0450,41657,0.2908
01015000800,28971,0.2484,1,M0450,41657,0.6955
01015000900,58854,0.1123,1,M0450,41657,1.4128
01015001000,56786,0.0485,1,M0450,41657,1.3632
01015001100,48750,0.0948,1,M0450,41657,1.1703
01015001200,40688,0.1471,1,M0450,41657,0.9767
01015001300,28355,0.1832,1,M0450,41657,0.6807
01015001400,37005,0.1005,1,M0450,41657,0.8883
01015001500,40247,0.1147,1,M0450,41657,0.9662
01015001600,37074,0.1036,1,M0450,41657,0.8900
01015001700,48520,0.0868,1,M0450,41657,1.1648
01015001800,40359,0.1161,1,M0450,41657,0.9688
01015001900,38750,0.0526,1,M0450,41657,0.9302
01015002000,40302,0.1024,1,M0450,41657,0.9675
01015002101,16985,0.4781,1,M0450,41657,0.4077
01015002102,66970,0.0941,1,M0450,41657,1.6077
01015002103,36708,0.2476,1,M0450,41657,0.8812
01015002200,37618,0.1252,1,M0450,41657,0.9030
01015002300,30081,0.2691,1,M0450,41657,0.7221
01015002400,41417,0.1470,1,M0450,41657,0.9942
01015002501,45600,0.1035,1,M0450,41657,1.0947
01015002502,38008,0.1548,1,M0450,41657,0.9124
01015002600,40194,0.1803,1,M0450,41657,0.9649
01017953800,38092,0.1642,0,,41657,0.9144
01017953900,40411,0.2060,0,,41657,0.9701
01017954000,33356,0.2252,0,,41657,0.8007
01017954200,38882,0.1262,0,,41657,0.9334
01017954300,36099,0.1671,0,,41657,0.8666
01017954400,29286,0.1911,0,,41657,0.7030
01017954500,37155,0.1766,0,,41657,0.8919
01017954600,39435,0.1316,0,,41657,0.9467
01017954700,36174,0.1242,0,,41657,0.8684
01019955700,35513,0.1624,0,,41657,0.8525
01019955800,37331,0.1404,0,,41657,0.8962
01019955900,39600,0.2017,0,,41657,0.9506
01019956000,36792,0.1887,0,,41657,0.8832
01019956100,37944,0.0971,0,,41657,0.9109
01021060101,35536,0.2047,0,,41657,0.8531
01021060102,37606,0.1792,0,,41657,0.9028
01021060200,44352,0.1143,0,,41657,1.0647
01021060300,42222,0.1612,0,,41657,1.0136
01021060401,41039,0.1637,0,,41657,0.9852
01021060402,43866,0.1137,0,,41657,1.0530
01021060500,38696,0.1515,0,,41657,0.9289
01021060600,38207,0.1249,0,,41657,0.9172
