tract_geoid_2010,tract_geoid_2000,poppct10,n_deals,total_qlici
01059973500,01059973500,100,1,5000000
01073001902,01073001902,100,3,14400000
01073002700,01073002700,100,1,1000000
01073004500,01073004500,100,2,34450000
01097000200,01097000200,100,1,14000000
02020000600,02020000600,100,8,11493716
02020001000,02020001000,100,4,9278950
02020001100,02020001100,100,3,1931250
02020001802,02020001802,100,1,750000
02020001900,02020001900,100,3,1327500
02020002100,02020002100,100,1,607500
02050000100,02050000100,100,1,337500
02090000100,02090000100,100,1,431250
02090000300,02090000300,100,1,495000
02122000100,02122000100,100,1,1000000
02170000102,02170000100,100,1,348750
02180000100,02180000100,100,1,2138133
02290000200,02290000200,100,1,1200000
04013092801,04013092800,100,1,7173888
04013093001,04013093000,100,1,600000
04013103304,04013103304,100,1,2357852
04013103305,04013103305,100,1,3600000
04013103306,04013103306,100,1,2286000
04013106002,04013106000,100,1,704000
04013106703,04013106700,100,3,47500000
04013109801,04013109801,100,2,6000000
04013110501,04013110500,100,2,5219600
04013110502,04013110500,100,2,1194276
04013110600,04013110600,100,1,680738
04013111202,04013111202,100,2,4600000
04013112514,04013112506,100,1,18500000
04013113100,04013113100,100,2,23200001
04013113203,04013113203,100,1,1100000
04013113801,04013113800,100,3,22100000
04013114000,04013114000,100,1,1350000
04013114100,04013114100,100,3,33085000
04013114200,04013114200,100,1,3000000
04013114301,04013114301,100,1,1008500
04013114500,04013114500,100,1,1500000
04013114800,04013114800,100,2,2920000
04013115200,04013115200,100,1,800000
04013115802,04013115802,100,1,740000
04013116204,04013116204,100,1,1600000
04013116703,04013116703,100,3,7500000
04013117100,04013108801,90.96,1,6056000
04013117200,04013115000,95.86,2,11450000
04013421302,04013421302,100,1,467800
04015952600,04015952600,100,1,1153498
04019000100,04019000100,100,1,2968175
04019000200,04019000200,100,1,700000
04019001100,04019001100,100,1,278505
04019003802,04019003802,100,1,1900000
05001480400,05001980400,100,1,767000
05041950200,05041950200,100,2,1890383
05043490200,05043990200,100,2,1040300
05043490400,05043990400,100,1,100000
05051011602,05051011602,100,2,666600
05069001000,05069001000,100,2,312300
05095950100,05095950100,100,3,554382
05119001900,05119001900,100,1,248625
05119003001,05119003000,100,1,3500000
05141460200,05141960200,100,1,1500000
05143011101,05143011101,100,2,5859000
05143011300,05143010900,58.14,1,3943528
06001401100,06001401100,100,2,240150
06001401300,06001401300,100,1,25000
06001401500,06001401500,100,1,21750
06001401600,06001401600,100,1,1100000
06001402600,06001402600,100,2,7725388
06001402800,06001402800,100,5,47397989
06001402900,06001402900,100,2,130000
06001403501,06001403500,100,1,526000
06001403701,06001403700,100,4,39250000
06001406100,06001406100,100,6,13913000
06001408900,06001408900,100,2,77427
06001409000,06001409000,100,2,7200000
06001422900,06001422900,100,8,25419212
06001423200,06001423200,100,1,2000000
06001423901,06001423901,100,1,2257661
06001426100,06001426100,100,1,1275000
06001435500,06001435500,100,1,247500
06001435601,06001435600,100,1,210000
06001436602,06001436602,100,1,2095000
06013303103,06013303100,100,1,7077000
06013305000,06013305000,100,1,12901000
06013311000,06013311000,100,1,50000
06013313101,06013313101,100,1,10000
06013359202,06013359202,100,1,405576
06013360102,06013360100,100,1,425000
06013365003,06013365001,98.15,2,3750000
06013372000,06013372000,100,1,2850000
06013374000,06013374000,100,4,764009
06013377000,06013377000,100,1,334000
06013379000,06013379000,100,1,100000
06013380000,06013380000,100,5,24219267
06019000300,06019000300,100,2,160000
06019001201,06019001201,100,1,719000
06019005100,06019005100,100,1,3383413
06023001000,06023001000,100,1,1800000
06025010400,06025010400,100,2,2000000
06025011300,06025011300,100,1,7347687
06025011900,06025011900,100,2,3100000
06029001500,06029001500,100,1,240000
06029002900,06029002900,100,1,3538270
06037102107,06037102101,89.2,1,7537500
06037104320,06037104320,100,4,28945112
06037127605,06037127602,93.15,1,237000
06037181600,06037181600,100,1,1890000
06037190510,06037190510,100,3,22085984
06037191000,06037191000,100,2,15975900
06037201301,06037201301,100,2,10350000
06037206031,06037206040,55.36,2,6320000
06037207900,06037207900,100,1,10500000
06037208402,06037208400,83.64,2,10439393
06037208502,06037208500,100,1,425000
06037208902,06037208902,100,1,1998000
06037209200,06037209200,100,2,5100000
06037210010,06037210010,100,1,418000
06037211121,06037211110,100,1,8000000
06037211802,06037211802,100,2,5895000
06037224410,06037224410,99.84,2,10575000
06037234600,06037234600,100,2,10400000
06037236100,06037236100,100,1,2886934
06037237402,06037237400,100,1,600000
06037238320,06037238320,99.84,4,10670000
06037242700,06037242700,100,2,5318548
06037269903,06037269902,100,1,782000
06037294701,06037294700,100,2,1200000
06037296600,06037296600,100,1,730000
06037301601,06037301601,100,1,1300000
06037320201,06037320200,100,1,4500000
06037402402,06037402402,99.9,1,310000
06037404201,06037404200,100,2,24843400
06037461901,06037461900,100,4,13680000
06037502902,06037502902,100,1,526616
06037530500,06037530500,100,1,508542
06037530700,06037530700,100,1,849000
06037532101,06037532101,100,1,1020000
06037532200,06037532200,100,1,625000
06037532303,06037532303,99.55,1,4244000
06037532603,06037532603,100,2,511111
06037533107,06037533107,100,1,515000
06037533203,06037533203,100,1,1975000
06037534900,06037534900,100,2,10000000
06037535101,06037535101,100,1,2500000
06037573402,06037573402,99.91,1,1400000
06037576402,06037576402,100,1,1312500
06037601001,06037601001,100,1,331000
06037601100,06037601100,100,2,2000000
06041112202,06041112200,100,1,2500000
06053001300,06053001300,97.49,3,18051000
06057000501,06057000501,100,3,4244692
06059052411,06059052411,100,1,7500000
06059074802,06059074802,100,1,498000
06059075403,06059075403,100,2,2500000
06059075515,06059075515,100,2,3008250
06059076101,06059076101,100,1,335000
06059088502,06059088502,100,1,1800000
06065030400,06065030400,100,8,49386000
06065030502,06065030502,100,1,1500000
06065040615,06065040602,100,1,19480000
06065041500,06065041500,100,1,1025000
06065042209,06065042209,100,1,600000
06065042300,06065042300,99.94,1,7000000
06065043001,06065043001,100,1,1175000
06065043005,06065043005,100,1,915000
06065044701,06065044701,100,1,17600000
06065051200,06065043215,100,1,379236
06067001101,06067001100,55.25,1,9750000
06067003700,06067003700,100,1,1500000
06067004502,06067004500,100,2,1435000
06067005101,06067005101,100,1,97000
06067005301,06067005300,100,2,680000
06067005502,06067005502,100,1,2990884
06067006900,06067006900,100,1,240500
06069000300,06069000300,100,1,1200000
06071005400,06071005400,100,2,6350000
06071005600,06071005600,100,1,390250
