project_id,transaction_id,tract_geoid_2010,metro_2010,year,cde_name,qlici_amount,city,state,zip,purpose,qalicb_type,multi_cde,multi_tract
AK0001,1,02070000100,Non-Metropolitan,2008,"Alaska Growth Capital BIDCO, Inc.",300000,Aleknagik,AK,99555,Business Financing,NRE,NO,NO
AK0002,2,02020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",1008750,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0003,3,02020000600,Metropolitan,2006,"HEDC New Markets, Inc",977000,Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,4,02020000600,Metropolitan,2006,"HEDC New Markets, Inc",2923000,Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,5,02020000600,Metropolitan,2006,"HEDC New Markets, Inc",1161506,Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0004,6,02020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",187500,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0006,7,02020001802,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",750000,Anchorage,AK,99507,Business Financing,NRE,NO,NO
AK0007,8,02020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",127500,Anchorage,AK,99503,Business Financing,NRE,NO,NO
AK0008,9,02020001000,Metropolitan,2007,"USBCDE, LLC",6080000,Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0008,10,02020001000,Metropolitan,2007,"USBCDE, LLC",2002700,Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0009,11,02020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",450000,Anchorage,AK,99517,Business Financing,NRE,NO,NO
AK0010,12,02020000600,Metropolitan,2007,"Consortium America, LLC",4420000,Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0010,13,02020000600,Metropolitan,2007,"Consortium America, LLC",1268960,Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0011,14,02020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",225000,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0012,15,02020002100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",607500,Anchorage,AK,99517,Business Financing,NRE,NO,NO
AK0013,16,02020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",750000,Anchorage,AK,99503,Business Financing,NRE,NO,NO
AK0014,17,02020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",206250,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0015,18,02050000100,Non-Metropolitan,2009,Capital Impact Partners,10123526,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,19,02050000100,Non-Metropolitan,2009,Capital Impact Partners,2876474,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,20,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",4531532,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,21,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",4531532,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,22,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",4570936,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,23,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",1218468,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,24,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",1218468,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,25,02050000100,Non-Metropolitan,2009,"Travois New Markets, LLC",1229064,Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,26,02020001100,Metropolitan,2009,"Waveland Community Development, LLC",8000000,Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0015,27,02020001100,Metropolitan,2009,"Waveland Community Development, LLC",2000000,Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0016,28,02020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",1500000,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0017,29,02020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",296250,Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0018,30,02050000100,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",337500,Kwethluk,AK,99621,Business Financing,NRE,NO,NO
AK0019,31,02090000100,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.",431250,Fairbanks,AK,99701,Business Financing,NRE,NO,NO
